,track_name,track_id,popularity_score,artist_name,artist_id
33,Mahragan Bent El Geran,2vSLxBSZoK0eha4AuhZlXV,57,"['Hassan Shakosh', 'Omar Kamal']","['62IUrFqq28x2SbRdzm9sQt', '1AxlE5JCJrJzVYa0ywJQqV']"
34,Thaa,2NmBCDkjvJVvEZkH5QDOeb,4,"['Varinder Brar', 'Rav Dhaliwal', 'Ultra Beats']","['4C19flKmMm12gRxmBJWMCV', '3quojFCZjKk1j5zIv0HX2P', '2YzXsQoI3rqYNEVd4nac7g']"
35,Alama Yabdou,1PtYCPi96ivlJpahykUmY0,33,['Saad Lamjarred'],['0NjXtqYWpnV055KhfZgtuY']
36,Wein,1QSMPPfQD7uMBbT0KN1ey2,62,['AL SHAMI'],['597R32EkdYgLMf1tQcHF8k']
37,La,5XF583kr3Eojotxl6SOKF0,64,['DYSTINCT'],['1cKyknhftNKXCjMBd2hDrG']
38,Awl Mara,2EGX48NpiPOYswzI7srylN,55,['Hamza Al Mahmdawi'],['4fClSImakiSPnfxOa4NOiW']
39,سايبه للأيام,3vwPtmqbOapF8dk7n3Rsoq,38,['Youssif Elashry'],['4IMgqWorWJUqUlbULGdoBa']
40,Callin' U (Tamally Maak),7uH88hqUq0zh1Khx4xXMxq,68,['Elyanna'],['0jIWKlfmD4Ew7HeVVrq03g']
41,Alf Taheya (Family Matter 3),3Gboliw6iTLJY1qKnI9pyC,41,['Ahmed Saad'],['5D2ui1KD49TfyCDb35zf5V']
42,Bel Bont El3areedh,4ZU4yHDLZcMcy8BF6Y89fu,56,['Hussain Aljassmi'],['1TcEy92Hugt8o9STqUDz2D']
43,KEBDA,2Cs1t49qL52fPt6ikx15wp,60,"['Afroto', 'ONUY']","['7yBuSjd5Z3w7acodk51evR', '33Dgas4QUk9jjh2TnolVwj']"
44,اتنسينا,0kZtRxxBDbMO4vZApAiNOZ,61,['Youssif Elashry'],['4IMgqWorWJUqUlbULGdoBa']
