track_id,track_name,track_artist,popularity_2023,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_2025,season,year,period,popularity_categorized
54VSZyIh7YdLujfihY0m5Y,a change is gonna come,sam cooke,0,2o79MAXD7xbq0E1SEugdeC,portrait of a legend (remastered),2003-01-01,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.313,0.418,0,-9.975,0,0.031,0.765,0.0,0.322,0.472,85.938,191133,0,,2003,2000s,hardly recognizable
4DTLlMqz8grnPEQZL0DzfE,summertime,sam cooke,0,2o79MAXD7xbq0E1SEugdeC,portrait of a legend (remastered),2003-01-01,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.647,0.328,6,-12.065,0,0.0323,0.737,1.37e-05,0.13,0.395,120.73,140307,0,,2003,2000s,hardly recognizable
527BJf6rzamNYjWkpcDexu,just for one day (heroes) (extended version),david guetta,0,75HYbRzMd58RCx89CuTcHB,club bowie rare & unreleased 12'' mixes,2003-01-01,Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house,0.606,0.658,2,-9.856,1,0.229,3.12e-05,0.918,0.336,0.442,127.933,397853,0,,2003,2000s,hardly recognizable
2cDx8lvceogN0Gs8epmRLD,slammin' (axwell remix),eric prydz,31,44VNdOc6tcbCh9ME8KSs3A,slammin`,2003-01-01,Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house,0.7,0.888,6,-6.374,1,0.0935,0.000796,0.458,0.233,0.705,126.963,481119,21,,2003,2000s,hardly recognizable
4llK75pXNWZz6KAho2Gp16,she will be loved - radio mix,maroon 5,80,5zClcGCSWj926AMjvBNSLc,songs about jane: 10th anniversary edition,2002-01-01,post teen pop,2ltt5ouiEO301o2jbxn30d,pop,post-teen pop,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453,84,,2002,2000s,hit
7LqjznQwfrax7MjQXmxqdQ,jenny from the block (feat. jadakiss & styles p.) - track masters remix,jennifer lopez,65,1l8TpRDfjJjKdtbzNtSycM,this is me...then,2002-01-01,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,187840,69,,2002,2000s,hit
6ECp64rv50XVz93WvxXMGF,this love,maroon 5,76,5zClcGCSWj926AMjvBNSLc,songs about jane: 10th anniversary edition,2002-01-01,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200,85,,2002,2000s,hit
4llK75pXNWZz6KAho2Gp16,she will be loved - radio mix,maroon 5,80,5zClcGCSWj926AMjvBNSLc,songs about jane: 10th anniversary edition,2002-01-01,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453,84,,2002,2000s,hit
0lpkIkav4zSnEWoCtlfyBW,atl hoe,baby d.,23,0AL297JKQYDpj8CmnpV7TO,lil' chopper toy,2002-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.905,0.951,1,-3.268,1,0.319,0.0644,0.0,0.107,0.838,124.023,272773,24,,2002,2000s,hardly recognizable
1dSHz2TN7HwE8p5aGw8jjy,eastside vs. westside,baby d.,14,0AL297JKQYDpj8CmnpV7TO,lil' chopper toy,2002-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.699,0.82,3,-4.968,0,0.243,0.00712,0.0,0.319,0.468,130.015,190427,16,,2002,2000s,hardly recognizable
3H6JUtLbiZh07T7GLiuTON,"my neck, my back",khia,52,7hTbLqmxMV3XquGc60ZJig,thug misses,2002-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.877,0.696,9,-2.296,0,0.138,0.0302,0.0,0.0478,0.747,102.055,222333,51,,2002,2000s,famous
2Y8i6ntDzXIhCO4UJPl5Qv,superstition - single version,stevie wonder,6,7fjiLZzAXNUXUazn89VBMc,the definitive collection,2002-01-01,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.643,0.628,10,-12.075,0,0.0748,0.0443,0.00613,0.0359,0.894,100.392,245493,0,,2002,2000s,hardly recognizable
